Lat,Lon,Elat,Elon,Length,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.438684,9.160017,45.463702,9.207037,4.603209,2020,06,30,12,30,20,51,0,28,76,17,20,20,936,801
45.461777,9.207348,45.478930,9.163907,3.887335,2020,06,30,12,30,20,36,0,24,61,18,20,18,936,801
45.442634,9.158580,45.458188,9.206086,4.089293,2020,06,30,12,30,20,39,0,23,63,15,17,17,936,801
45.504583,9.149415,45.465485,9.189220,5.341106,2020,06,30,12,30,20,28,0,31,83,21,33,31,936,801
45.497186,9.175170,45.476664,9.163807,2.447722,2020,06,30,12,40,25,33,0,19,52,10,13,18,936,801
45.455558,9.157292,45.451518,9.183204,2.070405,2020,06,30,12,40,25,29,0,13,32,11,14,18,936,801
45.475995,9.194723,45.474946,9.161457,2.596296,2020,06,30,12,40,25,29,0,15,41,10,15,11,936,798
45.452573,9.178467,45.437980,9.194852,2.065564,2020,06,30,12,40,25,39,0,13,34,7,17,23,936,798
45.470755,9.183872,45.452650,9.151583,3.223884,2020,06,30,12,40,25,25,0,18,51,14,14,23,936,798
45.452143,9.197179,45.504659,9.163615,6.398760,2020,06,30,12,40,25,47,0,36,99,22,24,28,936,798
45.454841,9.210052,45.444001,9.174348,3.034670,2020,06,30,12,40,25,30,0,15,49,8,8,17,936,794
45.450071,9.150532,45.487047,9.170733,4.402781,2020,06,30,12,40,25,38,0,22,70,14,27,36,936,794
45.494531,9.188638,45.447641,9.180301,5.254050,2020,06,30,12,40,25,38,0,31,84,21,24,26,936,794
45.440247,9.155137,45.463677,9.196551,4.149913,2020,06,30,12,40,25,45,0,24,65,15,16,19,936,789
45.502993,9.215880,45.490875,9.195784,2.066057,2020,06,30,12,50,20,27,0,13,36,8,20,31,936,789
45.502358,9.189005,45.450188,9.201172,5.877814,2020,06,30,12,50,20,32,0,32,92,19,22,26,936,789
45.439499,9.196161,45.493681,9.173605,6.275992,2020,06,30,12,50,20,53,0,36,101,22,26,40,936,789
45.442548,9.195517,45.499663,9.159266,6.951248,2020,06,30,12,50,20,52,0,45,122,27,33,38,936,785
45.485218,9.173969,45.469510,9.222467,4.165046,2020,06,30,12,50,20,40,0,23,63,16,18,19,936,785
45.446529,9.204713,45.500021,9.162606,6.793718,2020,06,30,12,50,20,46,0,40,112,22,30,35,936,785
45.475639,9.170255,45.497028,9.202626,3.467504,2020,06,30,12,50,20,42,0,21,59,15,17,24,936,785
45.494196,9.181142,45.466490,9.215141,4.063972,2020,06,30,12,50,20,20,0,22,67,15,20,16,936,790
45.460595,9.203482,45.444728,9.155576,4.132190,2020,06,30,12,50,20,45,0,24,63,15,16,20,936,790
45.481008,9.176983,45.461570,9.202797,2.953410,2020,06,30,12,50,20,31,0,22,47,15,19,18,936,790
45.474685,9.190785,45.452292,9.207904,2.825191,2020,06,30,13,00,20,21,0,19,48,0,1,5,936,790
45.464981,9.162134,45.470691,9.203207,3.265124,2020,06,30,13,00,20,22,0,24,50,0,2,5,936,782
45.453791,9.173925,45.485694,9.215175,4.788429,2020,06,30,13,00,20,29,0,27,73,21,24,35,936,782
45.460948,9.180248,45.457304,9.227659,3.719734,2020,06,30,13,00,20,45,0,21,58,16,22,24,936,782
45.458015,9.163098,45.485807,9.157939,3.116253,2020,06,30,13,00,20,39,0,18,49,11,19,21,936,782
45.475589,9.169081,45.449131,9.190524,3.383922,2020,06,30,13,00,20,45,0,19,53,13,17,18,936,780
45.477201,9.172964,45.475686,9.204303,2.449189,2020,06,30,13,00,20,25,0,17,39,11,13,15,936,780
45.481065,9.183760,45.502891,9.164829,2.840210,2020,06,30,13,00,20,23,0,16,47,10,21,12,936,780
45.466582,9.185752,45.473455,9.153511,2.627587,2020,06,30,13,00,20,14,0,17,43,11,13,15,936,780
45.501495,9.190681,45.459464,9.197702,4.705354,2020,06,30,13,00,20,38,0,29,77,18,18,23,936,781
45.475146,9.182417,45.442097,9.162937,3.976383,2020,06,30,13,10,19,23,0,26,63,20,24,27,936,781
