Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Second,Public,Public2,Bike,Foot,Car,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.503653,9.188387,45.471993,9.146804,4.785296,2020,03,01,15,24,39,35,35,28,82,14,13,18,0,0
45.474529,9.166426,45.469056,9.216550,3.955403,2020,03,01,15,24,39,51,51,24,63,16,23,22,0,0
45.454130,9.198799,45.456394,9.156860,3.280734,2020,03,01,15,24,39,34,25,18,51,11,14,30,0,0
45.438663,9.161515,45.464560,9.189038,3.591685,2020,03,01,15,24,39,41,29,24,59,19,22,34,0,0
45.488710,9.165832,45.459756,9.213810,4.935398,2020,03,01,15,24,39,46,56,27,80,18,23,25,0,0
45.439513,9.188334,45.481813,9.165588,5.026729,2020,03,01,15,24,39,48,42,27,80,17,22,20,0,0
45.506102,9.149540,45.446046,9.154412,6.688397,2020,03,01,15,24,39,75,56,37,111,19,26,27,0,0
45.443955,9.205925,45.461809,9.175887,3.070875,2020,03,01,15,24,39,43,53,23,55,11,16,18,0,0
45.484765,9.167266,45.488074,9.224111,4.446464,2020,03,01,15,24,39,24,24,27,73,17,30,29,0,0
45.456760,9.190715,45.499027,9.177635,4.809017,2020,03,01,15,24,39,8,8,30,76,17,23,30,0,0
45.483215,9.181271,45.490921,9.208570,2.294025,2020,03,01,15,24,39,30,33,13,39,9,17,19,0,0
45.504924,9.208190,45.480567,9.192441,2.973455,2020,03,01,15,24,39,50,13,18,45,11,13,14,0,0
45.454545,9.230275,45.454976,9.194831,2.764920,2020,03,01,15,24,39,30,32,15,43,10,11,18,0,0
45.451141,9.162846,45.481535,9.187258,3.878776,2020,03,01,15,24,39,28,29,26,61,15,35,25,0,0
45.462351,9.230081,45.451772,9.163057,5.358126,2020,03,01,15,24,39,64,53,29,83,18,20,19,0,0
45.449197,9.191269,45.504303,9.156572,6.697818,2020,03,01,15,34,39,61,56,42,114,23,30,45,0,0
45.501736,9.211538,45.473799,9.224343,3.262735,2020,03,01,15,34,39,34,34,17,52,10,10,16,0,0
45.438644,9.147113,45.480116,9.201935,6.288414,2020,03,01,15,34,39,48,53,36,99,24,35,39,0,0
45.438222,9.215779,45.443492,9.190599,2.049965,2020,03,01,15,34,39,24,24,12,34,6,8,9,0,0
45.480355,9.188284,45.468703,9.164193,2.281828,2020,03,01,15,34,39,0,0,15,38,9,12,25,0,0
45.504015,9.160630,45.475672,9.160996,3.151575,2020,03,01,15,34,39,102,212,19,54,11,11,14,0,0
45.466718,9.188384,45.454643,9.168827,2.031968,2020,03,01,15,34,39,28,22,15,31,13,19,20,0,0
